,precision,recall,f1-score,support
Stay,0.9521452145214522,0.557487922705314,0.7032297379646557,1035.0
Churn,0.42963885429638854,0.9224598930481284,0.5862361937128292,374.0
accuracy,0.6543647977288858,0.6543647977288858,0.6543647977288858,0.6543647977288858
macro avg,0.6908920344089203,0.7399739078767211,0.6447329658387424,1409.0
weighted avg,0.8134529656043665,0.6543647977288858,0.6721753834222972,1409.0
