threshold,precision,recall,f1,f2
0.1,0.3516377649325626,0.9759358288770054,0.5169971671388102,0.7202052091554854
0.11,0.35826771653543305,0.9732620320855615,0.5237410071942447,0.7245222929936306
0.12,0.3654618473895582,0.9732620320855615,0.5313868613138686,0.7303370786516854
0.13,0.36826042726347913,0.9679144385026738,0.5335298452468681,0.7301331181928197
0.13999999999999999,0.371900826446281,0.9625668449197861,0.5365126676602087,0.7305194805194806
0.14999999999999997,0.37513061650992685,0.9598930481283422,0.5394440270473329,0.7317570322054627
0.15999999999999998,0.37898089171974525,0.9545454545454546,0.5425531914893617,0.7321575061525841
0.16999999999999998,0.38403451995685006,0.9518716577540107,0.547271329746349,0.7346264960792406
0.17999999999999997,0.38962472406181015,0.9438502673796791,0.5515625,0.734804329725229
0.18999999999999995,0.3955056179775281,0.9411764705882353,0.5569620253164557,0.7376362112321878
0.19999999999999996,0.3968253968253968,0.9358288770053476,0.5573248407643312,0.7359125315391085
0.20999999999999996,0.40253748558246827,0.9331550802139037,0.5624496373892023,0.7384680490901396
0.21999999999999995,0.40588235294117647,0.9224598930481284,0.5637254901960784,0.7352941176470589
0.22999999999999995,0.4100119189511323,0.9197860962566845,0.5671887881286067,0.7366167023554604
0.23999999999999994,0.4139590854392298,0.9197860962566845,0.570954356846473,0.7391491190373872
0.24999999999999992,0.4178921568627451,0.9117647058823529,0.573109243697479,0.7374567474048442
0.2599999999999999,0.4215080346106304,0.9117647058823529,0.5765004226542688,0.7396963123644251
0.2699999999999999,0.4282115869017632,0.9090909090909091,0.5821917808219178,0.74235807860262
0.2799999999999999,0.4291139240506329,0.9064171122994652,0.5824742268041238,0.7414698162729659
0.2899999999999999,0.43149807938540335,0.9010695187165776,0.5835497835497836,0.7400087834870444
0.29999999999999993,0.4361979166666667,0.8957219251336899,0.5866900175131349,0.7398409893992933
0.30999999999999994,0.43889618922470436,0.893048128342246,0.5885462555066079,0.7399202481169694
0.3199999999999999,0.4450402144772118,0.8877005347593583,0.5928571428571429,0.7404103479036575
0.32999999999999985,0.4479025710419486,0.8850267379679144,0.5947888589398024,0.7404921700223713
0.33999999999999986,0.45267489711934156,0.8823529411764706,0.5983680870353582,0.7415730337078652
0.34999999999999987,0.45429362880886426,0.8770053475935828,0.5985401459854015,0.739404869251578
0.3599999999999999,0.4592696629213483,0.8743315508021391,0.6022099447513812,0.7404891304347826
0.3699999999999999,0.4623044096728307,0.8689839572192514,0.6035283194057567,0.7389722601182356
0.3799999999999999,0.4675324675324675,0.8663101604278075,0.6073102155576382,0.7400639561443582
0.3899999999999999,0.47153284671532847,0.8636363636363636,0.6100094428706326,0.7404860155891793
0.3999999999999998,0.47703703703703704,0.8609625668449198,0.6139180171591992,0.7415937356057116
0.4099999999999998,0.47832585949177875,0.8556149732620321,0.613614573346117,0.7390300230946882
0.4199999999999998,0.48623853211009177,0.8502673796791443,0.6186770428015564,0.7395348837209302
0.4299999999999998,0.48985959438377535,0.839572192513369,0.6187192118226601,0.7346747777257838
0.43999999999999984,0.49682539682539684,0.8368983957219251,0.6235059760956175,0.7361241768579492
0.44999999999999984,0.5,0.8262032085561497,0.6229838709677419,0.7308420056764428
0.45999999999999985,0.5066445182724253,0.8155080213903744,0.625,0.726882745471878
0.46999999999999986,0.5119453924914675,0.8021390374331551,0.625,0.7204610951008645
0.47999999999999976,0.5164075993091537,0.7994652406417112,0.6274921301154249,0.7204819277108434
0.48999999999999977,0.5247349823321554,0.7941176470588235,0.6319148936170212,0.7201745877788555
0.4999999999999998,0.5314183123877917,0.7914438502673797,0.635875402792696,0.720896249391135
0.5099999999999998,0.5366300366300366,0.7834224598930482,0.6369565217391304,0.7174338883447601
0.5199999999999998,0.5420560747663551,0.7754010695187166,0.6380638063806381,0.7139340226489415
0.5299999999999998,0.5502846299810247,0.7754010695187166,0.6437291897891232,0.7167572911517548
0.5399999999999998,0.5562015503875969,0.767379679144385,0.6449438202247191,0.713220675944334
0.5499999999999998,0.556640625,0.7620320855614974,0.6433408577878104,0.7096613545816733
0.5599999999999997,0.561122244488978,0.7486631016042781,0.6414662084765178,0.7017543859649122
0.5699999999999997,0.5711340206185567,0.7406417112299465,0.6449359720605355,0.6991418475517416
0.5799999999999997,0.5770833333333333,0.7406417112299465,0.6487119437939111,0.7009109311740891
0.5899999999999997,0.5787234042553191,0.7272727272727273,0.6445497630331753,0.6917599186164801
0.5999999999999998,0.5820568927789934,0.7112299465240641,0.6401925391095066,0.6810035842293907
0.6099999999999998,0.5932584269662922,0.7058823529411765,0.6446886446886447,0.6800618238021638
0.6199999999999998,0.5995423340961098,0.7005347593582888,0.6461159062885327,0.677703052250388
0.6299999999999997,0.5986078886310905,0.6898395721925134,0.6409937888198758,0.6694343539180073
0.6399999999999997,0.6037735849056604,0.6844919786096256,0.6416040100250626,0.6666666666666666
0.6499999999999997,0.6168674698795181,0.6844919786096256,0.6489226869455006,0.6698063840920984
0.6599999999999997,0.6219512195121951,0.6818181818181818,0.6505102040816326,0.6689401888772298
0.6699999999999997,0.6278481012658228,0.6631016042780749,0.6449934980494149,0.6557377049180327
0.6799999999999997,0.6344647519582245,0.6497326203208557,0.6420079260237781,0.6466205428419372
0.6899999999999997,0.6383561643835617,0.6229946524064172,0.6305818673883626,0.6260075228371843
0.6999999999999996,0.651685393258427,0.6203208556149733,0.6356164383561644,0.6263498920086393
0.7099999999999996,0.6647230320699709,0.6096256684491979,0.6359832635983264,0.6199021207177814
0.7199999999999996,0.6706948640483383,0.5935828877005348,0.6297872340425532,0.6075533661740559
0.7299999999999996,0.6698113207547169,0.56951871657754,0.615606936416185,0.5871003307607497
0.7399999999999997,0.6753246753246753,0.5561497326203209,0.6099706744868035,0.5764966740576497
0.7499999999999997,0.68,0.5454545454545454,0.6053412462908012,0.5679287305122495
0.7599999999999997,0.6872852233676976,0.5347593582887701,0.6015037593984962,0.5595970900951315
0.7699999999999997,0.7028985507246377,0.5187165775401069,0.5969230769230769,0.5474040632054176
0.7799999999999997,0.7088122605363985,0.4946524064171123,0.5826771653543307,0.5264655663062038
0.7899999999999996,0.7061224489795919,0.4625668449197861,0.5589660743134087,0.49684089603676046
0.7999999999999996,0.7180616740088106,0.4358288770053476,0.5424292845257903,0.4730121880441091
0.8099999999999996,0.7333333333333333,0.4117647058823529,0.5273972602739726,0.451348182883939
0.8199999999999996,0.7540106951871658,0.3770053475935829,0.5026737967914439,0.41889483065953653
0.8299999999999996,0.7650602409638554,0.339572192513369,0.4703703703703704,0.38206979542719616
0.8399999999999996,0.7465753424657534,0.2914438502673797,0.41923076923076924,0.33191230207064554
0.8499999999999996,0.7703703703703704,0.27807486631016043,0.4086444007858546,0.31882280809319435
0.8599999999999995,0.7886178861788617,0.25935828877005346,0.3903420523138833,0.29956763434218653
0.8699999999999996,0.8020833333333334,0.20588235294117646,0.3276595744680851,0.24183417085427136
0.8799999999999996,0.8227848101265823,0.17379679144385027,0.2869757174392936,0.20634920634920634
0.8899999999999996,0.8214285714285714,0.12299465240641712,0.21395348837209302,0.1481958762886598
0.8999999999999996,0.8214285714285714,0.06149732620320856,0.11442786069651742,0.07545931758530183
